Year	Location	nb_samples	hap.div
2016	Brikama	77	0.995
2017	Brikama	64	0.943
2017	Basse	62	0.999
2017	Ijede	8	0.964
2018	Basse	12	1
2018	Brikama	12	1
2019	Basse	65	0.999
2019	Brikama	58	0.994
2019	Brikamaba	23	0.996
2019	Soma	20	0.995
2019	Yerobawol	115	0.997
2019	Sabi	60	0.999
2019	Kerewan	20	0.932
2019	Fajikunda	60	0.986
2019	Pirang	13	0.974
2019	Sotuma Sere	101	0.998
2019	Bansang	38	0.996
2020	Basse	32	1
2020	Brikama	38	0.94
2020	Yerobawol	74	0.99
2020	Bansang	24	1
2020	Soma	15	1
2020	Kerewan	9	1
2021	Brikama	44	0.951
2021	Fajikunda	30	0.931
2022	Fatoto	11	0.945
2022	Kafuta	19	0.924
2022	Soma	14	0.989
